timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483314,-0.213576,0.09605,1.784093,0.104125,1.426887,0.86815,-0.210979,-0.095902,-0.972775,0.03419,-0.078765,0.155346,-13.616882,-23.660828,-42.851562,,,,,,,
1532483314,-0.176042,0.09049,1.796152,-0.273411,2.310445,0.502196,-0.174418,-0.090366,-0.980516,0.00323,-0.094921,0.247698,-12.066589,-23.583313,-43.494934,,,,,,,
1532483314,-0.116914,0.08277,1.801227,-0.359563,3.36955,0.206887,-0.116248,-0.082676,-0.989773,0.017219,0.011646,0.230069,-9.642212,-23.203918,-44.32019,,,,,,,
,,,,,,,,,,,,,,,,42.473817,-83.404993,245.50737,-1,-1,1532483314,
1532483314,-0.06237,0.064216,1.805218,-1.153294,2.205023,0.469042,-0.062201,-0.064172,-0.995998,-0.018106,-0.08985,-0.375324,-7.093994,-22.371277,-45.032227,,,,,,,
1532483314,-0.015151,0.046348,1.815759,-0.757387,2.548521,0.580589,-0.015134,-0.046332,-0.998811,0.065976,-0.099359,0.181612,-5.508179,-21.56546,-45.660461,,,,,,,
1532483314,-0.007199,0.029238,1.828782,-0.93192,-0.19775,0.773671,-0.007196,-0.029234,-0.999547,0.496331,-0.026903,-0.769191,-5.502563,-20.780182,-46.131409,,,,,,,
1532483314,-0.011548,0.012333,1.83958,-0.773537,-0.49309,0.330776,-0.011547,-0.012333,-0.999857,0.228665,0.062656,0.140192,-5.85437,-19.805908,-46.273438,,,,,,,
1532483314,-0.028486,-0.002106,1.84215,-0.703156,-0.859496,0.047922,-0.028482,0.002106,-0.999592,0.055719,0.015106,-0.100857,-6.632935,-19.398956,-46.47345,,,,,,,
1532483314,-0.043474,-0.014235,1.83908,-0.536059,-0.700749,-0.192363,-0.043456,0.014234,-0.998954,0.124739,0.05527,0.040519,-7.155151,-18.493866,-46.61731,,,,,,,
1532483314,-0.055039,-0.019704,1.839694,-0.076286,-0.471551,0.280633,-0.055001,0.019703,-0.998292,0.040596,-0.065693,0.046296,-7.155151,-18.493866,-46.61731,,,,,,,
1532483314,-0.05819,-0.014469,1.855952,0.53686,0.06887,1.089946,-0.058151,0.014468,-0.998203,-0.046692,-0.130282,0.139667,-7.695435,-18.092316,-46.502991,,,,,,,
1532483314,-0.048174,0.000686,1.882407,0.981707,0.6873,1.308034,-0.048155,-0.000686,-0.99884,0.073897,-0.076218,0.189269,-8.298645,-18.314056,-46.336853,,,,,,,
1532483314,-0.03307,0.020332,1.906534,1.002714,0.776639,1.083091,-0.033057,-0.020331,-0.999247,0.203193,0.067908,0.119852,-8.508179,-18.922211,-46.262085,,,,,,,
